"Test","Batch","Maquina","Usuario","Total Pasos","Pasos Lentos","Tiempo Promedio Paso (min)","Estado","Error Type","Error Message","Origen Error"
"Test Usuario 39 - AMAZONAS - ARARA - HOGARES - HOSPEDAJE VIAJERO","batch39","MAURICIO","mauro","42","16","0,232","PASSED","","",""
"Test Usuario 21 - CASANARE - CARIBAYONA - AUTOS - DIAGNOSTICO VEHICULO","batch21","MAURICIO","mauro","42","16","0,234","PASSED","","",""
"Test Usuario 10 - NARIÃ‘O - PASTO - AUTOS - FACILITADOR VIRTUAL","batch10","MAURICIO","mauro","38","13","0,294","PASSED","Otros","[java.lang.RuntimeException] No fue posible esperar el siguiente estado con until","TransicionarEstadosCaso.java:409"
"Test Usuario 43 - VALLE DEL CAUCA - CACHIMBAL - HOGARES - GASTOS DE MUDANZA","batch43","MAURICIO","mauro","42","16","0,234","PASSED","","",""
"Test Usuario 27 - ANTIOQUIA - ENVIGADO - HOGARES - ABOGADO EN SITIO","batch27","MAURICIO","mauro","42","16","0,234","PASSED","","",""
"Test Usuario 41 - ANTIOQUIA - ENVIGADO - HOGARES - SECADO DE ALFOMBRAS","batch41","MAURICIO","mauro","42","16","0,233","PASSED","","",""
"Test Usuario 20 - ARAUCA - PANAMA DE ARAUCA - AUTOS - PARQUEADERO","batch20","MAURICIO","mauro","42","16","0,234","PASSED","","",""
"Test Usuario 11 - CAUCA - ALMAGUER - AUTOS - ABOGADO VIRTUAL","batch11","MAURICIO","mauro","38","13","0,29","PASSED","Otros","[java.lang.RuntimeException] No fue posible esperar el siguiente estado con until","TransicionarEstadosCaso.java:409"
"Test Usuario 12 - QUINDIO - ARMENIA - AUTOS - ORIENTACION JURIDICA TELEFONICA AUTOS","batch12","MAURICIO","mauro","38","13","0,289","PASSED","Otros","[java.lang.RuntimeException] No fue posible esperar el siguiente estado con until","TransicionarEstadosCaso.java:409"
"Test Usuario 30 - ATLANTICO - AGUADA DE PABLO - HOGARES - CERRAJERO HO","batch30","MAURICIO","mauro","42","16","0,234","PASSED","","",""
"Test Usuario 37 - VICHADA - PUERTO CARREÃ‘O - HOGARES - VIGILANTE","batch37","MAURICIO","mauro","42","16","0,234","PASSED","","",""
"Test Usuario 34 - MAGDALENA - CIÃ‰NAGA - HOGARES - ASESORIA JURIDICA PRESENCIAL","batch34","MAURICIO","mauro","42","16","0,233","PASSED","","",""
"Test Usuario 23 - VICHADA - PUERTO CARREÃ‘O  - AUTOS - CAMBIO DE DISPOSITIVO","batch23","MAURICIO","mauro","42","16","0,236","PASSED","","",""
"Test Usuario 19 - GUAJIRA - RIOHACHA - AUTOS - RESCATE PARQUEADERO","batch19","MAURICIO","mauro","42","15","0,22","PASSED","","",""
"Test Usuario 17 - CORDOBA - ABROJAL - AUTOS - HOSPEDAJE VIAJERO","batch17","MAURICIO","mauro","42","16","0,235","PASSED","","",""
"Test Usuario 08 - MAGDALENA - SANTA MARTA - AUTOS - CERRAJERO AUTOS COMPLEJIDAD BAJA","batch8","MAURICIO","mauro","42","19","0,25","PASSED","","",""
"Test Usuario 29 - VALLE DEL CAUCA - CACHIMBAL - HOGARES - PLOMERO","batch29","MAURICIO","mauro","42","16","0,234","PASSED","","",""
"Test Usuario 15 - META - VILLAVICENCIO - AUTOS - ESTANCIA CONDUCTOR POR HURTO","batch15","MAURICIO","mauro","42","16","0,298","PASSED","","",""
"Test Usuario 22 - VICHADA - PUERTO CARREÃ‘O - AUTOS - CAMBIO DE BATERIA","batch22","MAURICIO","mauro","42","16","0,234","PASSED","","",""
"Test Usuario 40 - PUTUMAYO - MOCOA - HOGARES - TRASLADO DE BIENES","batch40","MAURICIO","mauro","42","16","0,232","PASSED","","",""
"Test Usuario 48 - MAGDALENA - CIENAGA - HOGARES - ORIENTACION JURIDICA TELEFONICA","batch48","MAURICIO","mauro","42","16","0,234","PASSED","","",""
"Test Usuario 05 - CUNDINAMARCA - SOACHA - AUTOS - AMBULANCIA","batch5","MAURICIO","mauro","42","19","0,242","PASSED","","",""
"Test Usuario 04 - ATLANTICO - BARANOA - AUTOS - FRENOS","batch4","MAURICIO","mauro","42","18","0,229","PASSED","","",""
"Test Usuario 38 - VAUPES - MITU - HOGARES - VIGILANTE SP","batch38","MAURICIO","mauro","42","16","0,233","PASSED","","",""
"Test Usuario 49 - BOLIVAR - TURBACO - HOGARES - ORIENTACION MEDICA TELEFONICA","batch49","MAURICIO","mauro","42","16","0,232","PASSED","","",""
"Test Usuario 46 - NORTE DE SANTANDER - ARBOLEDAS - HOGARES - ASESORIA PSICOLOGICA","batch46","MAURICIO","mauro","42","16","0,234","PASSED","","",""
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","@{name=batch9; type=tag; displayName=batch9}","COMEKSF031","Leider.Ardila","8","0","0","PASSED","","",""
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","@{name=batch18; type=tag; displayName=batch18}","COMEKSF031","Leider.Ardila","7","0","0","PASSED","","",""
"Test Usuario 07 - NORTE DE SANTANDER - CUCUTA - AUTOS - CAMBIO LLANTAS","@{name=batch7; type=tag; displayName=batch7}","COMEKSF031","Leider.Ardila","7","0","0","PASSED","","",""
"Test Usuario 25 - AMAZONAS - ARARA - AUTOS - MANTENIMIENTO PREVENTIVO","@{name=batch25; type=tag; displayName=batch25}","COMEKSF031","Leider.Ardila","7","0","0","PASSED","UI","@{errorType=org.openqa.selenium.StaleElementReferenceException; message=stale element reference: stale element not found in the current frame
  (Session info: chrome=149.0.7827.156)
For documentation on this error, please visit: https://selenium.dev/exceptions/#stale_element_reference
Build info: version: '4.6.0', revision: '79f1c02ae20'
System info: os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '1.8.0_422-422'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Command: [097247ed61b7c2a3f6d2b7a00d4ab2ca, getElementAttribute {id=f.BB6E38DF716B0AE76ABF45D8950D2D5A.d.54E481D822F9A461593E72BD884A073D.e.246, name=class}]
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 149.0.7827.156, chrome: {chromedriverVersion: 149.0.7827.155 (07b52360cc1..., userDataDir: C:\Users\LEIDER~1.MUL\AppDa...}, fedcm:accounts: true, goog:chromeOptions: {debuggerAddress: localhost:55203}, goog:processID: 19332, networkConnectionEnabled: false, pageLoadStrategy: normal, platformName: WINDOWS, proxy: Proxy(), se:cdp: ws://localhost:55203/devtoo..., se:cdpVersion: 149.0.7827.156, setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, webauthn:extension:credBlob: true, webauthn:extension:largeBlob: true, webauthn:extension:minPinLength: true, webauthn:extension:prf: true, webauthn:virtualAuthenticators: true}
Element: [[ChromeDriver: chrome on WINDOWS (097247ed61b7c2a3f6d2b7a00d4ab2ca)] -> css selector: .formio-component-servicio .custom-dropdown]
Session ID: 097247ed61b7c2a3f6d2b7a00d4ab2ca; stackTrace=System.Object[]}",
"Test Usuario 35 - BOLIVAR - TURBACO - HOGARES - ORIENTACION DIGITAL","@{name=batch35; type=tag; displayName=batch35}","COMEKSF031","Leider.Ardila","7","0","0","PASSED","Otros","@{errorType=java.lang.RuntimeException; message=Error seleccionando Departamento: BOLIVAR; stackTrace=System.Object[]; rootCause=}",
"Test Usuario 24 - VAUPÃ‰S - MITÃš - AUTOS - INSTALACION","@{name=batch24; type=tag; displayName=batch24}","COMEKSF031","Leider.Ardila","7","0","0","PASSED","UI","@{errorType=org.openqa.selenium.StaleElementReferenceException; message=stale element reference: stale element not found in the current frame
  (Session info: chrome=149.0.7827.156)
For documentation on this error, please visit: https://selenium.dev/exceptions/#stale_element_reference
Build info: version: '4.6.0', revision: '79f1c02ae20'
System info: os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '1.8.0_422-422'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Command: [66c98f8f30681d13d9d4a5486b7fb242, getElementAttribute {id=f.229FC681F336EFB49D905AE4FFA3B425.d.232F990B583175246233BD55C2B8FA75.e.216, name=class}]
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 149.0.7827.156, chrome: {chromedriverVersion: 149.0.7827.155 (07b52360cc1..., userDataDir: C:\Users\LEIDER~1.MUL\AppDa...}, fedcm:accounts: true, goog:chromeOptions: {debuggerAddress: localhost:56547}, goog:processID: 23908, networkConnectionEnabled: false, pageLoadStrategy: normal, platformName: WINDOWS, proxy: Proxy(), se:cdp: ws://localhost:56547/devtoo..., se:cdpVersion: 149.0.7827.156, setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, webauthn:extension:credBlob: true, webauthn:extension:largeBlob: true, webauthn:extension:minPinLength: true, webauthn:extension:prf: true, webauthn:virtualAuthenticators: true}
Element: [[ChromeDriver: chrome on WINDOWS (66c98f8f30681d13d9d4a5486b7fb242)] -> css selector: .formio-component-servicio .custom-dropdown]
Session ID: 66c98f8f30681d13d9d4a5486b7fb242; stackTrace=System.Object[]}",
"Test Usuario 06 - SANTANDER - BUCARAMANGA - AUTOS - GRUA","@{name=batch6; type=tag; displayName=batch6}","COMEKSF031","Leider.Ardila","7","0","0","PASSED","Otros","@{errorType=java.lang.RuntimeException; message=Error seleccionando Departamento: SANTANDER; stackTrace=System.Object[]; rootCause=}",
"Test Usuario 36 - NARIÃ‘O - IPIALES - HOGARES - FACILITADOR VIRTUAL","@{name=batch36; type=tag; displayName=batch36}","COMEKSF031","Leider.Ardila","7","0","0","PASSED","Otros","@{errorType=java.lang.RuntimeException; message=Error seleccionando Departamento: NARIÃ‘O; stackTrace=System.Object[]; rootCause=}",
"Test Usuario 44 - ATLANTICO - AGUADA DE PABLO - HOGARES - SEGUIMIENTO A LA REPARACION","@{name=batch44; type=tag; displayName=batch44}","COMEKSF031","Leider.Ardila","7","0","0","PASSED","","",""
"Test Usuario 50 - NARIÃ‘O - IPIALES - HOGARES - PLAN DE ACCION","@{name=batch50; type=tag; displayName=batch50}","COMEKSF031","Leider.Ardila","7","0","0","PASSED","","",""
"Test Usuario 28 - ANTIOQUIA - ENVIGADO - HOGARES - ELECTRICISTA","@{name=batch28; type=tag; displayName=batch28}","COMEKSF031","Leider.Ardila","7","0","0","PASSED","","",""
"Test Usuario 45 - CUNDINAMARCA - ZIPAQUIRA - HOGARES - REVISION Y REDACCION DE CONTRATOS","@{name=batch45; type=tag; displayName=batch45}","COMEKSF031","Leider.Ardila","7","0","0","PASSED","","",""
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","@{name=batch16; type=tag; displayName=batch16}","COMEKSF031","Leider.Ardila","8","0","0","PASSED","","",""
"Test Usuario 14 - TOLIMA - IBAGUE - AUTOS - CONDUCTOR FAMILIAR","@{name=batch14; type=tag; displayName=batch14}","COMEKSF031","Leider.Ardila","7","0","0","PASSED","Otros","@{errorType=java.lang.RuntimeException; message=Error seleccionando Departamento: TOLIMA; stackTrace=System.Object[]; rootCause=}",
"Test Usuario 01 - ANTIOQUIA - MEDELLIN - AUTOS - PASO DE GASOLINA","@{name=batch1; type=tag; displayName=batch1}","COMEKSF031","Leider.Ardila","7","0","0","PASSED","UI","@{errorType=org.openqa.selenium.StaleElementReferenceException; message=stale element reference: stale element not found in the current frame
  (Session info: chrome=149.0.7827.156)
For documentation on this error, please visit: https://selenium.dev/exceptions/#stale_element_reference
Build info: version: '4.6.0', revision: '79f1c02ae20'
System info: os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '1.8.0_422-422'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Command: [a782bdadfd1cf28da1599093ec1fbeab, getElementAttribute {id=f.1825856D321C3E62A64410EA6E5BE496.d.1368BD2B4D8E4250291148178C07730B.e.246, name=class}]
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 149.0.7827.156, chrome: {chromedriverVersion: 149.0.7827.155 (07b52360cc1..., userDataDir: C:\Users\LEIDER~1.MUL\AppDa...}, fedcm:accounts: true, goog:chromeOptions: {debuggerAddress: localhost:55393}, goog:processID: 13936, networkConnectionEnabled: false, pageLoadStrategy: normal, platformName: WINDOWS, proxy: Proxy(), se:cdp: ws://localhost:55393/devtoo..., se:cdpVersion: 149.0.7827.156, setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, webauthn:extension:credBlob: true, webauthn:extension:largeBlob: true, webauthn:extension:minPinLength: true, webauthn:extension:prf: true, webauthn:virtualAuthenticators: true}
Element: [[ChromeDriver: chrome on WINDOWS (a782bdadfd1cf28da1599093ec1fbeab)] -> css selector: .formio-component-servicio .custom-dropdown]
Session ID: a782bdadfd1cf28da1599093ec1fbeab; stackTrace=System.Object[]}",
"Test Usuario 03 - VALLE DEL CAUCA - BAJO CALIMA - AUTOS - MECANICA BASICA","@{name=batch3; type=tag; displayName=batch3}","COMEKSF031","Leider.Ardila","7","0","0","PASSED","","",""
"Test Usuario 32 - SANTANORTE DE SANTANDER  - ARBOLEDAS - HOGARES - RETIRO DE ESCOMBROS","@{name=batch32; type=tag; displayName=batch32}","COMEKSF031","Leider.Ardila","7","0","0","PASSED","Otros","@{errorType=java.lang.RuntimeException; message=Error seleccionando Departamento: SANTANORTE DE SANTANDER; stackTrace=System.Object[]; rootCause=}",
"Test Usuario 26 - PUTUMAYO - MOCOA - HOGARES - ATENCION VIRTUAL HOGAR","@{name=batch26; type=tag; displayName=batch26}","COMEKSF031","Leider.Ardila","7","0","0","PASSED","","",""
"Test Usuario 47 - NORTE DE SANTANDER - OCAÃ‘A - HOGARES - CONSEJERIA FAMILIAR VIRTUAL O TELEFONICO","@{name=batch47; type=tag; displayName=batch47}","COMEKSF031","Leider.Ardila","7","0","0","PASSED","","",""
"Test Usuario 13 - RISARALDA - PEREIRA - AUTOS - CONDUCTOR PROFESIONAL","@{name=batch13; type=tag; displayName=batch13}","COMEKSF031","Leider.Ardila","8","0","0","PASSED","","",""
"Test Usuario 31 - CUNDINAMARCA - ZIPAQUIRA - HOGARES - VIDRIERO","@{name=batch31; type=tag; displayName=batch31}","COMEKSF031","Leider.Ardila","7","0","0","PASSED","","",""
"Test Usuario 33 - NORTE DE SANTANDER - OCAÃ‘A - HOGARES - DESAGUE POR INUNDACION","@{name=batch33; type=tag; displayName=batch33}","COMEKSF031","Leider.Ardila","7","0","0","PASSED","Otros","@{errorType=java.lang.RuntimeException; message=Error seleccionando Departamento: NORTE DE SANTANDER; stackTrace=System.Object[]; rootCause=}",
"Test Usuario 46 - SANTANORTE DE SANTANDER - ARBOLEDAS - HOGARES - ASESORIA PSICOLOGICA","@{name=batch46; type=tag; displayName=batch46}","COMEKSF031","Leider.Ardila","7","0","0","PASSED","Otros","@{errorType=java.lang.RuntimeException; message=Error seleccionando Departamento: SANTANORTE DE SANTANDER; stackTrace=System.Object[]; rootCause=}",
"Test Usuario 42 - ANTIOQUIA - ENVIGADO - HOGARES - SERVICIOS EXEQUIAL","@{name=batch42; type=tag; displayName=batch42}","COMEKSF031","Leider.Ardila","7","0","0","PASSED","UI","@{errorType=org.openqa.selenium.StaleElementReferenceException; message=stale element reference: stale element not found in the current frame
  (Session info: chrome=149.0.7827.156)
For documentation on this error, please visit: https://selenium.dev/exceptions/#stale_element_reference
Build info: version: '4.6.0', revision: '79f1c02ae20'
System info: os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '1.8.0_422-422'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Command: [112bb331817f49bb339d5110965ba758, getElementAttribute {id=f.6E4D747808B7B5C86FC657249AC7D7A5.d.338711B4845F9A2CB3CEA074A3C3C16D.e.246, name=class}]
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 149.0.7827.156, chrome: {chromedriverVersion: 149.0.7827.155 (07b52360cc1..., userDataDir: C:\Users\LEIDER~1.MUL\AppDa...}, fedcm:accounts: true, goog:chromeOptions: {debuggerAddress: localhost:62053}, goog:processID: 26796, networkConnectionEnabled: false, pageLoadStrategy: normal, platformName: WINDOWS, proxy: Proxy(), se:cdp: ws://localhost:62053/devtoo..., se:cdpVersion: 149.0.7827.156, setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, webauthn:extension:credBlob: true, webauthn:extension:largeBlob: true, webauthn:extension:minPinLength: true, webauthn:extension:prf: true, webauthn:virtualAuthenticators: true}
Element: [[ChromeDriver: chrome on WINDOWS (112bb331817f49bb339d5110965ba758)] -> css selector: .formio-component-servicio .custom-dropdown]
Session ID: 112bb331817f49bb339d5110965ba758; stackTrace=System.Object[]}",
"Test Usuario 02 - BOGOTA - BOGOTA - AUTOS - ABOGADO EN SITIO","@{name=batch2; type=tag; displayName=batch2}","COMEKSF031","Leider.Ardila","7","0","0","PASSED","Otros","@{errorType=java.lang.RuntimeException; message=Error seleccionando Departamento: BOGOTA D.C.; stackTrace=System.Object[]; rootCause=}",
"Test Usuario 39 - AMAZONAS - ARARA - HOGARES - HOSPEDAJE VIAJERO","@{name=batch39; type=tag; displayName=batch39}","COMEKSF031","Leider.Ardila","7","0","0","PASSED","","",""
"Test Usuario 21 - CASANARE - CARIBAYONA - AUTOS - DIAGNOSTICO VEHICULO","@{name=batch21; type=tag; displayName=batch21}","COMEKSF031","Leider.Ardila","7","0","0","PASSED","","",""
"Test Usuario 10 - NARIÃ‘O - PASTO - AUTOS - FACILITADOR VIRTUAL","@{name=batch10; type=tag; displayName=batch10}","COMEKSF031","Leider.Ardila","8","0","0","PASSED","","",""
"Test Usuario 43 - VALLE DEL CAUCA - CACHIMBAL - HOGARES - GASTOS DE MUDANZA","@{name=batch43; type=tag; displayName=batch43}","COMEKSF031","Leider.Ardila","7","0","0","PASSED","Otros","@{errorType=java.lang.RuntimeException; message=Error seleccionando Departamento: VALLE DEL CAUCA; stackTrace=System.Object[]; rootCause=}",
"Test Usuario 27 - ANTIOQUIA - ENVIGADO - HOGARES - ABOGADO EN SITIO","@{name=batch27; type=tag; displayName=batch27}","COMEKSF031","Leider.Ardila","7","0","0","PASSED","","",""
"Test Usuario 41 - ANTIOQUIA - ENVIGADO - HOGARES - SECADO DE ALFOMBRAS","@{name=batch41; type=tag; displayName=batch41}","COMEKSF031","Leider.Ardila","7","0","0","PASSED","UI","@{errorType=org.openqa.selenium.StaleElementReferenceException; message=stale element reference: stale element not found in the current frame
  (Session info: chrome=149.0.7827.156)
For documentation on this error, please visit: https://selenium.dev/exceptions/#stale_element_reference
Build info: version: '4.6.0', revision: '79f1c02ae20'
System info: os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '1.8.0_422-422'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Command: [b6e6d7432b1cde8edc8508b0424417d0, getElementAttribute {id=f.5FFBAB8BEE7ECC1CC6BB7764EA4A582A.d.939F9F9C677459CD14C11A8BEE4E0545.e.245, name=class}]
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 149.0.7827.156, chrome: {chromedriverVersion: 149.0.7827.155 (07b52360cc1..., userDataDir: C:\Users\LEIDER~1.MUL\AppDa...}, fedcm:accounts: true, goog:chromeOptions: {debuggerAddress: localhost:56004}, goog:processID: 24328, networkConnectionEnabled: false, pageLoadStrategy: normal, platformName: WINDOWS, proxy: Proxy(), se:cdp: ws://localhost:56004/devtoo..., se:cdpVersion: 149.0.7827.156, setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, webauthn:extension:credBlob: true, webauthn:extension:largeBlob: true, webauthn:extension:minPinLength: true, webauthn:extension:prf: true, webauthn:virtualAuthenticators: true}
Element: [[ChromeDriver: chrome on WINDOWS (b6e6d7432b1cde8edc8508b0424417d0)] -> css selector: .formio-component-servicio .custom-dropdown]
Session ID: b6e6d7432b1cde8edc8508b0424417d0; stackTrace=System.Object[]}",
"Test Usuario 20 - ARAUCA - PANAMA DE ARAUCA - AUTOS - PARQUEADERO","@{name=batch20; type=tag; displayName=batch20}","COMEKSF031","Leider.Ardila","7","0","0","PASSED","UI","@{errorType=org.openqa.selenium.StaleElementReferenceException; message=stale element reference: stale element not found in the current frame
  (Session info: chrome=149.0.7827.156)
For documentation on this error, please visit: https://selenium.dev/exceptions/#stale_element_reference
Build info: version: '4.6.0', revision: '79f1c02ae20'
System info: os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '1.8.0_422-422'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Command: [8f2af05adc513b51961f313c779f4636, getElementAttribute {id=f.56B85F79CF86394BA6802E1DA6FE6831.d.AD46DB895964327D9B77C3D28C3E7C09.e.207, name=class}]
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 149.0.7827.156, chrome: {chromedriverVersion: 149.0.7827.155 (07b52360cc1..., userDataDir: C:\Users\LEIDER~1.MUL\AppDa...}, fedcm:accounts: true, goog:chromeOptions: {debuggerAddress: localhost:56639}, goog:processID: 19088, networkConnectionEnabled: false, pageLoadStrategy: normal, platformName: WINDOWS, proxy: Proxy(), se:cdp: ws://localhost:56639/devtoo..., se:cdpVersion: 149.0.7827.156, setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, webauthn:extension:credBlob: true, webauthn:extension:largeBlob: true, webauthn:extension:minPinLength: true, webauthn:extension:prf: true, webauthn:virtualAuthenticators: true}
Element: [[ChromeDriver: chrome on WINDOWS (8f2af05adc513b51961f313c779f4636)] -> css selector: .formio-component-servicio .custom-dropdown]
Session ID: 8f2af05adc513b51961f313c779f4636; stackTrace=System.Object[]}",
"Test Usuario 11 - CAUCA - ALMAGUER - AUTOS - ABOGADO VIRTUAL","@{name=batch11; type=tag; displayName=batch11}","COMEKSF031","Leider.Ardila","7","0","0","PASSED","","",""
"Test Usuario 12 - QUINDIO - ARMENIA - AUTOS - ORIENTACION JURIDICA TELEFONICA AUTOS","@{name=batch12; type=tag; displayName=batch12}","COMEKSF031","Leider.Ardila","7","0","0","PASSED","Otros","@{errorType=java.lang.RuntimeException; message=Error seleccionando Departamento: QUINDIO; stackTrace=System.Object[]; rootCause=}",
"Test Usuario 30 - ATLANTICO - AGUADA DE PABLO - HOGARES - CERRAJERO HO","@{name=batch30; type=tag; displayName=batch30}","COMEKSF031","Leider.Ardila","7","0","0","PASSED","Otros","@{errorType=java.lang.RuntimeException; message=Error seleccionando Departamento: ATLANTICO; stackTrace=System.Object[]; rootCause=}",
"Test Usuario 37 - VICHADA - PUERTO CARREÃ‘O - HOGARES - VIGILANTE","@{name=batch37; type=tag; displayName=batch37}","COMEKSF031","Leider.Ardila","7","0","0","PASSED","","",""
"Test Usuario 34 - MAGDALENA - CIÃ‰NAGA - HOGARES - ASESORIA JURIDICA PRESENCIAL","@{name=batch34; type=tag; displayName=batch34}","COMEKSF031","Leider.Ardila","7","0","0","PASSED","Otros","@{errorType=java.lang.RuntimeException; message=Error seleccionando Departamento: MAGDALENA; stackTrace=System.Object[]; rootCause=}",
