"Test","Batch","Maquina","Usuario","Descripcion","Accion","Elemento","Valor","Tiempo (ms)","Tiempo (s)","Tiempo (min)","Estado","Error Type","Error Message","Origen Error","Archivo Origen"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","Sara opens the browser at https://asistenciaapp.kit.sura-konecta.com/agent","Abre","https://asistenciaapp.kit.sura-konecta.com/agent","N/A","518","0,52","0,009","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","And diligencia caso express completo desde feature
| departamento_solicita | municipio_solicita | servicios_especiales | gestor_coordinacion | linea | servicio |
| BOLIVAR | CARTAGENA LAGUNA CLUB | NO | NO | AUTOS | DESPLAZAMIENTO POR HORAS |","Ejecuta","And diligencia caso express completo desde feature
| departamento_solicita | municipio_solicita | servicios_especiales | gestor_coordinacion | linea | servicio |
| BOLIVAR | CARTAGENA LAGUNA CLUB | NO | NO | AUTOS | DESPLAZAMIENTO POR HORAS |","N/A","54060","54,06","0,901","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","Abrir Caso Express, seleccionar asistencia, entrar al iframe, habilitar y diligenciar en orden","Otra","N/A","N/A","54053","54,05","0,901","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","Sara clicks on Boton Caso Express / Express Case","Click/Selecciona","Boton Caso Express / Express Case","N/A","221","0,22","0,004","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","Sara clicks on Formulario CreaciÃ³n de Casos (ASISTENCIA)","Click/Selecciona","Formulario CreaciÃ³n de Casos (ASISTENCIA)","N/A","237","0,24","0,004","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","Sara switch to one script iframe","Navega/Cambia","one script iframe","N/A","893","0,89","0,015","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","Sara fill caso express form in order","Completa","Sara fill caso express form in order","N/A","46116","46,12","0,769","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","Sara enters 'Avenida Calle 65 # 76-42' into DirecciÃ³n servicio","Escribe","DirecciÃ³n servicio","Avenida Calle 65 # 76-42","144","0,14","0,002","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","Sara enters 'Carrera 72 # 66-76' into DirecciÃ³n del destino","Escribe","DirecciÃ³n del destino","Carrera 72 # 66-76","189","0,19","0,003","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","Sara enters 'Barrio Santa MarÃ­a, Apt. 24' into Detalle direcciÃ³n destino","Escribe","Detalle direcciÃ³n destino","Barrio Santa MarÃ­a, Apt. 24","190","0,19","0,003","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","Sara enters 'Barrio Chapinero, Torre D' into Detalle direcciÃ³n servicio","Escribe","Detalle direcciÃ³n servicio","Barrio Chapinero, Torre D","187","0,19","0,003","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","Sara enters 'Hyundai' into Marca vehÃ­culo","Escribe","Marca vehÃ­culo","Hyundai","169","0,17","0,003","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","Sara enters 'produccion' into UbicaciÃ³n servicio","Escribe","UbicaciÃ³n servicio","produccion","183","0,18","0,003","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","Sara enters 'OBS-855699298969660' into ObservaciÃ³n final del caso","Escribe","ObservaciÃ³n final del caso","OBS-855699298969660","133","0,13","0,002","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","Sara clicks on Guardar Formulario","Click/Selecciona","Guardar Formulario","N/A","241","0,24","0,004","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","And diligenciamos el proveedor
| Nombre del proveedor | Servicio |
| PROVEEDOR PRUEBA | TOMA SERVICIO |","Ejecuta","And diligenciamos el proveedor
| Nombre del proveedor | Servicio |
| PROVEEDOR PRUEBA | TOMA SERVICIO |","N/A","90103","90,10","1,502","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","Gestionar proveedor: abrir tab, crear, seleccionar nombre/respuesta y guardar","Otra","N/A","N/A","90096","90,10","1,502","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","Sara switch to one script iframe","Navega/Cambia","one script iframe","N/A","27","0,03","0","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","Sara enters '60' into Tiempo Monitoreo Sitio (Minutos)","Escribe","Tiempo Monitoreo Sitio (Minutos)","60","142","0,14","0,002","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","Sara clicks on Guardar Proveedor","Click/Selecciona","Guardar Proveedor","N/A","197","0,20","0,003","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","Sara click guardar en iframe","Click/Selecciona","guardar en iframe","N/A","10312","10,31","0,172","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","And transicionamos los estados del caso","Ejecuta","And transicionamos los estados del caso","N/A","154415","154,42","2,574","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","Transicionar caso adaptativo: detecta ruta y ejecuta secuencia correcta","Otra","N/A","N/A","154409","154,41","2,573","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","Sara click estado programado","Click/Selecciona","estado programado","N/A","15634","15,63","0,261","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","Sara click estado aceptado desplazamiento","Click/Selecciona","estado aceptado desplazamiento","N/A","17302","17,30","0,288","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","Sara click estado concluido","Click/Selecciona","estado concluido","N/A","15613","15,61","0,26","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","Sara click estado finalizado","Click/Selecciona","estado finalizado","N/A","15663","15,66","0,261","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","And Se valida que quede en estado ""Abierto""","Ejecuta","And Se valida que quede en estado ""Abierto""","N/A","122","0,12","0,002","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","Validar que el caso quede en estado 'Sara'","Otra","N/A","N/A","38","0,04","0,001","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","batch18","MAURICIO","mauro","Given el actor tiene un navegador disponible","Ejecuta","Given el actor tiene un navegador disponible","N/A","0","0,00","0","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","batch18","MAURICIO","mauro","When abre la pagina de casos","Ejecuta","When abre la pagina de casos","N/A","1391","1,39","0,023","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","batch18","MAURICIO","mauro","Abre la pagina de casos","Otra","N/A","N/A","1381","1,38","0,023","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","batch18","MAURICIO","mauro","Sara opens the browser at https://us-east-1s66ymlwwk.auth.us-east-1.amazoncognito.com/login?client_id=2hfo5293cfbh1h9fbe9m7g07dn&response_type=code&scope=email+openid+profile&redirect_uri=https%3A%2F%2Fasistenciaapp.kit.sura-konecta.com%2Fauth","Abre","https://us-east-1s66ymlwwk.auth.us-east-1.amazoncognito.com/login?client_id=2hfo5293cfbh1h9fbe9m7g07dn&response_type=code&scope=email+openid+profile&redirect_uri=https%3A%2F%2Fasistenciaapp.kit.sura-konecta.com%2Fauth","N/A","1373","1,37","0,023","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","batch18","MAURICIO","mauro","And realiza login con credenciales","Ejecuta","And realiza login con credenciales","N/A","5129","5,13","0,085","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","batch18","MAURICIO","mauro","Login con Cognito usando credenciales","Ejecuta","Login con Cognito usando credenciales","N/A","5121","5,12","0,085","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","batch18","MAURICIO","mauro","Sara opens the browser at https://us-east-1s66ymlwwk.auth.us-east-1.amazoncognito.com/login?client_id=2hfo5293cfbh1h9fbe9m7g07dn&response_type=code&scope=email+openid+profile&redirect_uri=https%3A%2F%2Fasistenciaapp.kit.sura-konecta.com%2Fauth","Abre","https://us-east-1s66ymlwwk.auth.us-east-1.amazoncognito.com/login?client_id=2hfo5293cfbh1h9fbe9m7g07dn&response_type=code&scope=email+openid+profile&redirect_uri=https%3A%2F%2Fasistenciaapp.kit.sura-konecta.com%2Fauth","N/A","301","0,30","0,005","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","batch18","MAURICIO","mauro","Sara enters 'pruebas38' into Campo de usuario de Cognito","Escribe","Campo de usuario de Cognito","pruebas38","196","0,20","0,003","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","batch18","MAURICIO","mauro","Sara clicks on BotÃ³n siguiente de Cognito","Click/Selecciona","BotÃ³n siguiente de Cognito","N/A","214","0,21","0,004","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","batch18","MAURICIO","mauro","Sara enters 'Tb8#G2hV7$' into Campo de contraseÃ±a de Cognito","Escribe","Campo de contraseÃ±a de Cognito","Tb8#G2hV7$","167","0,17","0,003","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","batch18","MAURICIO","mauro","Sara clicks on BotÃ³n continuar de Cognito","Click/Selecciona","BotÃ³n continuar de Cognito","N/A","216","0,22","0,004","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","batch18","MAURICIO","mauro","And navega a agent","Ejecuta","And navega a agent","N/A","5174","5,17","0,086","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","batch18","MAURICIO","mauro","Navega a la pagina de agent","Otra","N/A","N/A","5169","5,17","0,086","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","batch18","MAURICIO","mauro","Sara opens the browser at https://asistenciaapp.kit.sura-konecta.com/agent","Abre","https://asistenciaapp.kit.sura-konecta.com/agent","N/A","491","0,49","0,008","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","batch18","MAURICIO","mauro","And diligencia caso express completo desde feature
| departamento_solicita | municipio_solicita | servicios_especiales | gestor_coordinacion | linea | servicio |
| CESAR | VALLEDUPAR | NO | NO | AUTOS | TRASLADO VEHICULO DE REEMPLAZO |","Ejecuta","And diligencia caso express completo desde feature
| departamento_solicita | municipio_solicita | servicios_especiales | gestor_coordinacion | linea | servicio |
| CESAR | VALLEDUPAR | NO | NO | AUTOS | TRASLADO VEHICULO DE REEMPLAZO |","N/A","51335","51,34","0,856","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","batch18","MAURICIO","mauro","Abrir Caso Express, seleccionar asistencia, entrar al iframe, habilitar y diligenciar en orden","Otra","N/A","N/A","51330","51,33","0,856","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","batch18","MAURICIO","mauro","Sara clicks on Boton Caso Express / Express Case","Click/Selecciona","Boton Caso Express / Express Case","N/A","185","0,18","0,003","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","batch18","MAURICIO","mauro","Sara clicks on Formulario CreaciÃ³n de Casos (ASISTENCIA)","Click/Selecciona","Formulario CreaciÃ³n de Casos (ASISTENCIA)","N/A","168","0,17","0,003","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","batch18","MAURICIO","mauro","Sara switch to one script iframe","Navega/Cambia","one script iframe","N/A","769","0,77","0,013","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","batch18","MAURICIO","mauro","Sara fill caso express form in order","Completa","Sara fill caso express form in order","N/A","46289","46,29","0,771","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","batch18","MAURICIO","mauro","Sara enters 'Avenida Calle 79 # 60-46' into DirecciÃ³n servicio","Escribe","DirecciÃ³n servicio","Avenida Calle 79 # 60-46","148","0,15","0,002","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","batch18","MAURICIO","mauro","Sara enters 'Carrera 75 # 8-44' into DirecciÃ³n del destino","Escribe","DirecciÃ³n del destino","Carrera 75 # 8-44","129","0,13","0,002","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","batch18","MAURICIO","mauro","Sara enters 'Barrio La Castellana, Apt. 10' into Detalle direcciÃ³n destino","Escribe","Detalle direcciÃ³n destino","Barrio La Castellana, Apt. 10","149","0,15","0,002","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","batch18","MAURICIO","mauro","Sara enters 'Barrio Santa MarÃ­a, Torre C' into Detalle direcciÃ³n servicio","Escribe","Detalle direcciÃ³n servicio","Barrio Santa MarÃ­a, Torre C","207","0,21","0,003","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","batch18","MAURICIO","mauro","Sara enters 'Chevrolet' into Marca vehÃ­culo","Escribe","Marca vehÃ­culo","Chevrolet","176","0,18","0,003","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","batch18","MAURICIO","mauro","Sara enters 'produccion' into UbicaciÃ³n servicio","Escribe","UbicaciÃ³n servicio","produccion","199","0,20","0,003","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","batch18","MAURICIO","mauro","Sara enters 'OBS-525277407402148' into ObservaciÃ³n final del caso","Escribe","ObservaciÃ³n final del caso","OBS-525277407402148","125","0,12","0,002","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","batch18","MAURICIO","mauro","Sara clicks on Guardar Formulario","Click/Selecciona","Guardar Formulario","N/A","245","0,24","0,004","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","batch18","MAURICIO","mauro","And diligenciamos el proveedor
| Nombre del proveedor | Servicio |
| PROVEEDOR PRUEBA | TOMA SERVICIO |","Ejecuta","And diligenciamos el proveedor
| Nombre del proveedor | Servicio |
| PROVEEDOR PRUEBA | TOMA SERVICIO |","N/A","90413","90,41","1,507","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","batch18","MAURICIO","mauro","Gestionar proveedor: abrir tab, crear, seleccionar nombre/respuesta y guardar","Otra","N/A","N/A","90408","90,41","1,507","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","batch18","MAURICIO","mauro","Sara switch to one script iframe","Navega/Cambia","one script iframe","N/A","19","0,02","0","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","batch18","MAURICIO","mauro","Sara enters '60' into Tiempo Monitoreo Sitio (Minutos)","Escribe","Tiempo Monitoreo Sitio (Minutos)","60","127","0,13","0,002","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","batch18","MAURICIO","mauro","Sara clicks on Guardar Proveedor","Click/Selecciona","Guardar Proveedor","N/A","141","0,14","0,002","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","batch18","MAURICIO","mauro","Sara click guardar en iframe","Click/Selecciona","guardar en iframe","N/A","10216","10,22","0,17","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","batch18","MAURICIO","mauro","And transicionamos los estados del caso","Ejecuta","And transicionamos los estados del caso","N/A","78470","78,47","1,308","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","batch18","MAURICIO","mauro","Transicionar caso adaptativo: detecta ruta y ejecuta secuencia correcta","Otra","N/A","N/A","78464","78,46","1,308","SUCCESS","","","","step_details_20260619_133939.xlsx"
